Name,longitude,latitude
SAP Porto Oriental,-8.681757796829826,41.1602244109767
UCC Campanhã,-8.567660686598636,41.15155234284493
UCC Paranhos,-8.620631443232007,41.15642223986464
UCSP Azevedo Campanhã,-8.567707974008327,41.15148327481129
UCSP São Roque Lameira,-8.589250297509087,41.15713571677029
UCSP Vale Formoso – Sede,-8.61264012868314,41.169532915744966
URAP Porto Oriental – Bonfim,-8.61972287982567,41.149855324517304
URAP Porto Oriental – Campanhã,-8.61972287982567,41.149855324517304
USF Arca d’Água,-8.61264987763424,41.16947012109708
USF Barão de Nova Sintra,-8.590109301938817,41.14530875352659
USF Covelo,-8.606595821937516,41.16555768067127
USF Faria Guimarães,-8.606595821937516,41.16555768067127
USF Aldoar,-8.66831773672756,41.1754840027774
USF Espaço Saúde,-8.668070457485168,41.175410648988596
USF Aníbal Cunha,-8.620847048596195,41.154766596356545
USF Bom Porto,-8.621108954628369,41.1533101102454
USF Carvalhido,-8.627841540139368,41.1687764112713
USF Prelada,-8.627841540139368,41.1687764112713
USF Cedofeita,-8.620513327438692,41.15642640135038
USF Garcia de Orta,-8.667478400569044,41.16157109544429
USF Lordelo do Ouro,-8.648512280516865,41.154351938712686
USF Porto Douro,-8.648512721107775,41.15436966127969
USF Rainha D. Amélia,-8.608662393032763,41.143045602892066
USF Ramalde,-8.65302961972952,41.17030178394862
USF São João do Porto,-8.619747360834324,41.14984835950857
USF Serpa Pinto,-8.618213764914914,41.164044473829925
USP Porto Ocidental (Aldoar),-8.608674348364383,41.14303562765977
USP Porto Ocidental (Batalha),-8.608674348364383,41.14303562765977
USF Lindo Vale,-8.612608319549615,41.16945923189362
USF Novo Sentido,-8.572090286415042,41.165632922139174
USF Porto Centro,-8.600328659430788,41.15164176352275
USF Santos Pousada,-8.600304448817198,41.151706501571
USP Porto Oriental,-8.608718917102825,41.14323854748887
CDP Porto,-8.617732237017883,41.16446873907709
SAP Porto Ocidental,-8.681738188252606,41.160232084701185
UCC Baixa do Porto,-8.608676972923268,41.143209629339204
UCC Boavista,-8.620667488266676,41.15658263726663
UCC Cuidar,-8.668456017102129,41.175632614743094
UCSP Carvalhosa,-8.620554330594794,41.15670107177705
UCSP Foz do Douro,-8.681790288266532,41.16042583754219
URAP Porto Ocidental,-8.619871263375133,41.15100990764856
